,all stations
0,6.12716738713e-08
1,4.41242365575e-08
2,3.5270480955e-07
3,1.15782107957e-06
4,6.66761055396e-09
5,5.09080851752e-07
6,1.20454578794e-06
7,1.99818220167e-06
8,-1.12697015078e-06
9,-2.31005247432e-07
10,2.11471734246e-07
11,8.54107175639e-07
12,4.64075492985e-07
13,7.3490530458e-08
14,7.13628544669e-08
15,4.42393322005e-07
16,-6.70674972945e-08
17,1.92448295555e-07
18,-8.32662847632e-07
19,3.00312124419e-06
20,8.45920215212e-06
21,4.99277940354e-06
22,-4.21804375208e-08
23,-1.27385278127e-07
24,-1.73647576844e-07
25,1.81661998667e-07
26,2.42080197046e-07
27,-1.83802663643e-07
28,2.60991604039e-06
29,5.9108652697e-06
30,1.42165482667e-06
31,1.79210785492e-06
32,5.31706999675e-07
33,2.70046814284e-07
34,-1.77584794815e-05
35,3.4089704798e-06
36,9.81746494331e-06
37,2.47866621694e-07
38,5.54518357287e-08
39,1.37535167474e-08
40,1.07485829516e-07
41,5.94162230397e-08
42,6.75205276673e-10
43,5.50333481989e-08
44,1.35239700329e-07
45,4.04111156085e-07
46,-5.42943447775e-06
47,-3.71897745092e-06
48,3.34406378248e-07
49,3.38529509629e-08
50,6.96159602196e-08
51,-2.83853986938e-06
52,-8.24392319475e-07
53,3.55787209724e-08
54,4.44936356845e-07
55,1.43056423087e-06
56,-7.82552327644e-07
57,1.71894464719e-06
58,3.96803500568e-06
59,9.01572112522e-06
60,-1.15584837313e-06
61,-3.55013270614e-07
62,6.28937454972e-07
63,2.32731144203e-06
64,3.25499836892e-06
65,-8.87629380232e-08
66,1.68564939098e-07
67,1.13639120727e-07
68,8.34316853089e-07
69,1.14864424999e-06
70,2.29243313382e-06
71,-2.75043732628e-05
72,1.11526145439e-07
73,7.82082987151e-07
74,-1.16331775585e-06
75,-1.06589436354e-07
76,4.66897934574e-06
77,-0.000137307757335
78,4.30304127541e-07
79,1.10246946294e-07
80,-5.83705086917e-08
81,-1.56932117149e-07
82,1.95389681956e-05
83,-2.22266579065e-06
84,-5.08153267631e-07
85,6.7382384148e-07
86,1.31231736965e-06
87,-3.27356187994e-06
88,-2.31684028969e-06
89,1.98456753532e-07
90,4.65437026446e-08
91,2.97782272791e-07
92,3.21665410527e-08
93,-7.86765474393e-08
94,1.09177324061e-07
95,-8.04509403238e-07
96,-3.06026875108e-09
97,3.50570316669e-08
98,-9.99923316851e-08
99,1.01081956018e-05
100,2.35321165412e-07
101,7.24251937523e-07
102,1.63887148981e-07
103,-2.9806100423e-07
104,-1.26184806846e-06
105,4.01668149919e-05
106,-5.87284428896e-08
107,2.48939244361e-07
108,-2.37856672501e-07
109,7.77797100628e-08
110,-8.0484976371e-07
111,-1.06029744036e-06
112,4.78012233061e-06
113,2.83837015147e-05
114,-1.42949932021e-07
115,1.23967707418e-06
116,2.29897709292e-05
117,-1.04038461274e-07
118,1.1088857948e-05
119,0.00011644135199
120,1.08674615519e-07
121,-2.72072737968e-08
122,8.45878924253e-08
123,2.92067115497e-07
124,7.93534744338e-08
125,-3.25491850963e-08
126,7.25188966395e-08
127,2.39291798449e-07
128,5.93838451042e-07
129,5.8787290016e-07
130,-3.70413714945e-06
131,6.98516672785e-08
132,6.29280976877e-07
133,1.80823759473e-06
134,-6.76611641437e-07
135,-2.72380188614e-07
136,1.14536112381e-06
137,2.73802696308e-06
138,3.942747434e-06
139,1.39171289851e-06
140,5.40271859363e-07
141,3.49760102626e-07
142,4.18859205762e-08
143,5.8050282583e-08
144,1.13482758126e-06
145,8.11070676622e-07
146,4.00450260829e-08
147,-9.69720563481e-07
148,4.98500109995e-07
149,1.76177113316e-06
150,4.10848559947e-06
151,7.27159546476e-06
152,-1.41127213175e-06
153,-4.93597618196e-07
154,7.51287943097e-07
155,2.39439931424e-06
156,3.14628075732e-06
157,-2.11881127146e-06
158,-3.75808395201e-07
159,8.22445666716e-07
160,2.46833963766e-06
161,3.24903785797e-06
162,5.7950252439e-06
163,1.1027392127e-08
164,-2.90335301896e-06
165,4.42655689136e-07
166,1.12319376616e-07
167,3.01387882807e-07
168,5.43301480407e-07
169,1.476260041e-07
170,-2.73311512707e-07
171,1.65118335476e-06
172,7.34495572135e-06
173,-0.000587758285515
174,3.87421960821e-07
175,7.06728852779e-08
176,2.52069038819e-09
177,2.26697982686e-08
178,-3.88270359566e-08
179,-5.22382299886e-08
