,all stations
0,-8.37599432958e-05
1,-6.25672127434e-05
2,-6.18184114587e-06
3,4.02650418096e-05
4,-0.000238213810726
5,-1.70078472735e-05
6,-7.34395210709e-05
7,-2.51637440911e-05
8,-1.1920936294e-05
9,-3.58228956208e-05
10,4.32335979968e-05
11,-4.52294600884e-05
12,-2.22398282093e-06
13,-6.80114381077e-06
14,1.15981960476e-05
15,-9.64722210217e-06
16,4.89272951134e-05
17,3.03374491928e-05
18,-5.74314710723e-05
19,0.000107524106868
20,2.67719333677e-06
21,0.000215405790274
22,-0.00158555640934
23,-2.66691399122e-05
24,-1.36399245226e-05
25,-1.24799839513e-05
26,-1.06929584983e-05
27,1.3414831577e-05
28,4.62547011004e-06
29,-8.26196079959e-06
30,-1.19138235916e-05
31,-1.58248762914e-05
32,-0.000237593621612
33,-3.97471544974e-05
34,-1.10005761379e-05
35,0.00052972551691
36,0.000160295355248
37,4.30752562453e-06
38,-3.16057709585e-05
39,0.000374699421017
40,0.000126194459157
41,-3.97211856683e-05
42,-0.000176775095027
43,-9.13720751778e-05
44,0.000164299717881
45,-1.38839894107e-05
46,-1.67916317573e-05
47,-3.50427456233e-05
48,9.9260309718e-05
49,-0.000615395374349
50,0.0257370621093
51,-0.00110144361931
52,0.000174229472197
53,-4.92429805998e-05
54,-2.41172520231e-05
55,-1.49585572144e-05
56,4.06020559304e-06
57,-0.0026242492087
58,0.000344753068779
59,9.36523057543e-05
60,-4.84688233188e-05
61,-6.70522577953e-05
62,0.000471435761313
63,0.00031650881311
64,-7.05110843792e-05
65,3.14448123396e-05
66,-2.21841324742e-05
67,0.000147387967205
68,-1.79394150051e-05
69,-3.01675898163e-05
70,2.20820761159e-05
71,-3.42688551338e-05
72,-4.67377997637e-05
73,2.23568142838e-05
74,0.000296186455862
75,-0.00553136201053
76,0.000149702205549
77,-3.58524031984e-05
78,1.54205046974e-05
79,5.17149363972e-05
80,0.000338301188514
81,-0.00328314783611
82,-0.029417163324
83,-0.000729303712844
84,-7.81208241732e-06
85,2.96611579809e-06
86,-1.01691130859e-05
87,-2.05271211606e-05
88,1.13970802224e-05
89,1.19129659295e-05
90,-4.53404822895e-06
91,-1.40358599857e-05
92,-2.44211405985e-05
93,-0.000147344041499
94,0.00170281720389
95,-4.19529427876e-05
96,-1.0621473406e-05
97,-2.1746166304e-05
98,0.000117132494225
