sensor_code,gps_sync_time,start_time_gps,st_date,rt_date,deployment_time,end_time_recovery,stop_recording,skew_ms,skew_s,skew_s_corrected_leap_second,Note
O01,2014-08-22T19:12:56,2014-08-22T19:13:46,2014-08-22T08:52,2015-09-15T12:00,2014-08-23T12:33,2015-08-26T21:47:41,2015-05-26T08:27:02,2023125,2.023125,-1.023125,stop recording
O02,2014-08-22T18:51:50,2014-08-22T19:03:35,2014-08-22T08:58,2015-09-15T15:00,2014-08-23T13:19,2015-08-26T21:38:19,2015-07-20T05:06:24,1790906,1.790906,-0.790906,end recording full memory
O03,2014-08-22T20:22:17,2014-08-22T20:23:08,2014-08-22T12:11,2015-09-15T18:00,2014-08-23T14:06,2015-08-26T21:20,,1137906,1.137906,-0.137906,stop recorder
O04,2014-08-22T19:42:23,2014-08-22T19:52:43,2014-08-22T08:36,2015-09-14T12:00,2014-08-23T14:54,2015-08-26T21:29:16,,1774437,1.774437,-0.774437,end recording full memory
O06,2014-08-21T19:52:09,2014-08-21T19:53:29,2014-08-20T12:29:22,2015-09-12T18:00,2014-08-22T16:20,2015-08-30T11:07:25,,1129468,1.129468,-0.129468,
O08,2014-08-19T12:24:16,2014-08-19T12:26:05,2014-08-19T09:06,2015-09-10T09:00,2014-08-19T15:10,2015-08-29T22:21:11,2015-06-12T12:48:44,1099625,1.099625,-0.099625,stop
O10,2014-08-20T17:12:24,2014-08-20T17:18:42,2014-08-19T09:24,2015-09-10T15:00,2014-08-21T08:30,2015-08-31T14:20:05,2015-03-05T09:41:18,1813093,1.813093,-0.813093,Stops on 2015-07-15T09:41:18 but the data could not be recovered after 05.03.2015
O11,2014-08-20T18:39:30,2014-08-20T18:40:48,2014-08-20T12:22,2015-09-21T12:00,2014-08-21T17:03,2015-08-30T10:15:08,2015-05-07T08:08:37,1469656,1.469656,-0.469656,"Stop recording. ADC stuck, but restated 18 sequences"
O14,2014-08-20T22:49:35,2014-08-20T22:51:43,2014-08-20T12:44,2015-09-13T18:00,2014-08-22T14:10,2015-06-16T22:51:43,2015-08-30T20:20,1268156,1.268156,-0.268156,recording stopped
O15,2014-08-22T20:35:11,2014-08-22T20:37:53,2014-08-22T08:41,2015-09-14T15:00,2014-08-23T09:19,2015-08-30T19:30,2015-07-01T22:42:49,2669093,2.669093,-1.669093,
O16,2014-08-22T19:24:27,2014-08-22T19:25:16,2014-08-23T08:49,2015-09-15T19:00,2014-08-23T10:19,2015-08-30T15:44:19,2015-07-06T11:45:06,1648781,1.648781,-0.648781,stop record
O17,2014-08-22T20:04:35,2014-08-22T20:05:38,2014-08-22T08:44,2015-09-14T18:00,2014-08-23T11:11,2015-08-30T17:25:07,2015-07-28T20:16:33,1358468,1.358468,-0.358468,"Start date at 20:05 however, RT date says 08:44 which has to be a mistake confusing Pm and AM"
O19,2014-08-21T20:17:40,2014-08-21T20:19:25,2014-08-20T12:33,2015-09-13T09:00,2014-08-22T10:31,2015-08-30T22:30,2015-07-07T20:10:30,2147531,2.147531,-1.147531,Recording stopped
O20,2014-08-20T17:51:01,2014-08-20T17:51:50,2014-08-20T12:14:37,2015-09-11T18:00,2014-08-21T15:40,2015-08-30T23:39:12,,5445781,5.445781,-4.445781,stop recording
O21,2014-08-20T18:03:55,2014-08-20T18:05:20,2014-08-20T11:59:59,2015-09-11T09:00,2014-08-21T10:20,2015-08-31T09:58:00,2015-03-04T00:00,0,0,0,Reboot recorder. Synchronization not possible. No skew. Seed write end on 2015-03-04
O22,2014-08-20T18:20:44,2014-08-20T18:21:52,2014-08-20T12:06,2015-09-11T12:00,2014-08-21T11:45,2015-08-31T09:19:19,2015-06-24T17:31:58,1662562,1.662562,-0.662562,Beim Aussetzen. OBS mehr gegen due Bordwand geschlagen!
O23,2014-08-21T20:59:39,2014-08-21T21:00:36,2014-08-20T12:36,2015-09-13T12:00,2014-08-22T11:26,2015-08-30T21:40:00,2015-07-14T09:24:12,1296875,1.296875,-0.296875,Record stopped
