Sensor code,Station Name,Latitude,Longitude,Start time,End time,Skew microseconds
O01,"Station Reykjanes, Iceland",63.78344,-22.01142,2014-05-26,2015-08-23,2023125
O02,"Station Reykjanes, Iceland",63.78321,-22.22867,2014-08-23,2015-07-18,1790906
O03,"Station Reykjanes, Iceland",63.77156,-22.47474,2014-08-23,2015-08-24,1137506
O04,"Station Reykjanes, Iceland",63.75381,-22.7006,2014-08-23,2015-08-24,1774437
O05,"Station Reykjanes, Iceland",63.77284,-22.84096,2014-08-31,2015-08-21,
O06,"Station Reykjanes, Iceland",63.90564,-22.85942,2014-08-22,2015-08-29,1129468
O07,"Station Reykjanes, Iceland",63.976133,-22.88025,2014-08-20,2014-12-09,1758837
O08,"Station Reykjanes, Iceland",64.0982,-22.4029,2014-08-20,2015-06-11,1099625
O10,"Station Reykjanes, Iceland",64.04705,-23.09651,2014-08-21,2015-03-04,1813093
O11,"Station Reykjanes, Iceland",63.915,-23.091,2014-08-22,2015-05-05,1469656
O12,"Station Reykjanes, Iceland",63.77653,-23.25142,2014-08-21,2015-04-09,
O14,"Station Reykjanes, Iceland",63.62276,-22.86604,2014-08-24,2015-06-15,1268156
O15,"Station Reykjanes, Iceland",63.61422,-22.6184,2014-08-23,2015-06-30,2669093
O16,"Station Reykjanes, Iceland",63.68114,-22.39437,2014-08-23,2015-07-05,1648781
O17,"Station Reykjanes, Iceland",63.59102,-22.19684,2014-08-23,2015-07-27,1358468
O18,"Station Reykjanes, Iceland",63.48008,-22.57946,2014-08-22,2015-02-02,
O19,"Station Reykjanes, Iceland",63.61303,-23.07999,2014-08-22,2015-07-05,2147531
O20,"Station Reykjanes, Iceland",63.68719,-23.31253,2014-08-21,2015-08-29,5445781
O21,"Station Reykjanes, Iceland",64.01889,-23.6863,2014-08-21,2015-03-14,
O22,"Station Reykjanes, Iceland",63.82679,-23.80373,2014-08-21,2015-06-23,1662562
O23,"Station Reykjanes, Iceland",63.50439,-22.98352,2014-08-22,2015-07-13,1296875
